month,new_works
2013-01-01,1
2013-10-01,1
2013-11-01,6
2013-12-01,5
2014-01-01,3
2014-02-01,6
2014-03-01,6
2014-04-01,4
2014-05-01,5
2014-06-01,7
2014-07-01,12
2014-08-01,4
2014-09-01,6
2014-10-01,7
2014-11-01,9
2014-12-01,10
2015-01-01,11
2015-02-01,6
2015-03-01,12
2015-04-01,17
2015-05-01,11
2015-06-01,17
2015-07-01,26
2015-08-01,10
2015-09-01,18
2015-10-01,11
2015-11-01,19
2015-12-01,19
2016-01-01,22
2016-02-01,24
2016-03-01,31
2016-04-01,24
2016-05-01,28
2016-06-01,31
2016-07-01,38
2016-08-01,47
2016-09-01,30
2016-10-01,23
2016-11-01,28
2016-12-01,41
2017-01-01,29
2017-02-01,48
2017-03-01,61
2017-04-01,42
2017-05-01,41
2017-06-01,44
2017-07-01,51
2017-08-01,53
2017-09-01,45
2017-10-01,43
2017-11-01,41
2017-12-01,53
2018-01-01,62
2018-02-01,49
2018-03-01,58
2018-04-01,38
2018-05-01,61
2018-06-01,62
2018-07-01,48
2018-08-01,75
2018-09-01,64
2018-10-01,83
2018-11-01,82
2018-12-01,68
2019-01-01,80
2019-02-01,81
2019-03-01,83
2019-04-01,78
2019-05-01,83
2019-06-01,107
2019-07-01,128
2019-08-01,86
2019-09-01,82
2019-10-01,73
2019-11-01,88
2019-12-01,85
2020-01-01,112
2020-02-01,100
2020-03-01,94
2020-04-01,110
2020-05-01,109
2020-06-01,129
2020-07-01,105
2020-08-01,128
2020-09-01,127
2020-10-01,109
2020-11-01,125
2020-12-01,139
2021-01-01,118
2021-02-01,106
2021-03-01,130
2021-04-01,147
2021-05-01,140
2021-06-01,134
2021-07-01,143
2021-08-01,159
2021-09-01,131
2021-10-01,153
2021-11-01,188
2021-12-01,176
2022-01-01,148
2022-02-01,135
2022-03-01,187
2022-04-01,174
2022-05-01,185
2022-06-01,175
2022-07-01,198
2022-08-01,207
2022-09-01,207
2022-10-01,181
2022-11-01,221
2022-12-01,240
2023-01-01,195
2023-02-01,189
2023-03-01,214
2023-04-01,210
2023-05-01,198
2023-06-01,214
2023-07-01,221
2023-08-01,201
2023-09-01,219
2023-10-01,191
2023-11-01,227
2023-12-01,257
2024-01-01,181
2024-02-01,204
2024-03-01,189
2024-04-01,222
2024-05-01,187
2024-06-01,204
2024-07-01,218
2024-08-01,205
2024-09-01,187
2024-10-01,210
2024-11-01,241
2024-12-01,206
2025-01-01,192
2025-02-01,197
2025-03-01,181
2025-04-01,199
2025-05-01,168
2025-06-01,237
2025-07-01,240
2025-08-01,182
2025-09-01,183
2025-10-01,169
2025-11-01,183
2025-12-01,197
2026-01-01,175
2026-02-01,178
2026-03-01,168
2026-04-01,130
